gene_id	ERR458494_1	ERR458493_1	ERR458493_2	ERR458494_2
YBR158W	134	150	150	134
YBR159W	140	166	166	140
YBR160W	66	58	58	66
YBR161W	32	32	32	32
YBR162C	798	794	794	798
YBR162W-A	76	54	54	76
YBR163W	38	39	39	38
YBR164C	60	78	78	60
YBR165W	19	17	17	19
YBR166C	40	44	44	40
YBR167C	21	20	20	21
YBR168W	18	11	11	18
YBR169C	100	94	94	100
YBR170C	73	74	74	73
YBR171W	47	57	57	47
YBR172C	78	67	67	78
YBR173C	141	148	148	141
YBR174C	8	9	9	8
YBR175W	45	42	42	45
YBR176W	17	13	13	17
YBR177C	115	119	119	115
YBR178W	9	6	6	9
YBR179C	35	40	40	35
YBR180W	1	1	1	1
YBR181C	431	398	398	431
YBR182C	5	6	6	5
YBR182C-A	0	0	0	0
YBR183W	41	41	41	41
YBR184W	1	1	1	1
YBR185C	24	35	35	24
YBR186W	4	5	5	4
YBR187W	146	160	160	146
YBR188C	19	25	25	19
YBR189W	1449	1388	1388	1449
YBR190W	112	124	124	112
YBR191W	1441	1432	1432	1441
YBR191W-A	29	47	47	29
YBR192W	24	25	25	24
YBR193C	42	40	40	42
YBR194W	5	8	8	5
YBR195C	21	22	22	21
YBR196C	2439	2601	2601	2439
YBR196C-A	1	0	0	1
YBR196C-B	2	4	4	2
YBR197C	38	34	34	38
YBR198C	139	139	139	139
YBR199W	245	221	221	245
YBR200W	51	44	44	51
YBR200W-A	0	2	2	0
YBR201W	30	31	31	30
YBR201C-A	13	10	10	13
YBR202W	67	90	90	67
YBR203W	50	73	73	50
YBR204C	52	37	37	52
YBR205W	127	139	139	127
YBR206W	56	56	56	56
YBR207W	95	103	103	95
YBR208C	100	94	94	100
YBR209W	3	0	0	3
tC(GCA)B	0	0	0	0
tE(UUC)B	0	0	0	0
YBR210W	20	15	15	20
YBR211C	43	31	31	43
YBR212W	207	202	202	207
YBR213W	13	10	10	13
YBR214W	329	327	327	329
YBR215W	26	29	29	26
YBR216C	31	29	29	31
YBR217W	8	13	13	8
YBR218C	519	496	496	519
YBR219C	30	36	36	30
YBR220C	74	81	81	74
YBR221C	398	378	378	398
YBR221W-A	2	1	1	2
YBR222C	210	198	198	210
YBR223C	36	40	40	36
YBR223W-A	6	16	16	6
YBR224W	5	5	5	5
YBR225W	34	37	37	34
YBR226C	5	2	2	5
YBR227C	40	50	50	40
YBR228W	21	27	27	21
YBR229C	79	88	88	79
YBR230C	151	136	136	151
YBR230W-A	39	35	35	39
LSR1	5	12	12	5
YBR231C	55	37	37	55
YBR232C	10	9	9	10
YBR233W	28	33	33	28
YBR233W-A	12	9	9	12
YBR234C	237	216	216	237
YBR235W	81	71	71	81
YBR236C	52	61	61	52
YBR237W	44	33	33	44
YBR238C	33	35	35	33
YBR239C	24	31	31	24
YBR240C	10	7	7	10
YBR241C	83	69	69	83
YBR242W	31	34	34	31
YBR243C	64	62	62	64
YBR244W	42	39	39	42
YBR245C	74	85	85	74
YBR246W	68	77	77	68
YBR247C	26	18	18	26
YBR248C	181	194	194	181
YBR249C	470	495	495	470
YBR250W	1	1	1	1
YBR251W	30	45	45	30
YBR252W	71	64	64	71
YBR253W	25	42	42	25
YBR254C	21	27	27	21
YBR255W	54	55	55	54
YBR255C-A	23	19	19	23
YBR256C	115	155	155	115
YBR257W	12	17	17	12
YBR258C	8	15	15	8
YBR259W	10	23	23	10
YBR260C	37	38	38	37
YBR261C	108	123	123	108
YBR262C	37	46	46	37
YBR263W	329	275	275	329
YBR264C	57	49	49	57
YBR265W	124	107	107	124
YBR267W	22	22	22	22
YBR266C	5	5	5	5
YBR268W	80	71	71	80
YBR269C	49	52	52	49
YBR270C	22	25	25	22
YBR271W	12	19	19	12
YBR272C	29	24	24	29
YBR273C	88	88	88	88
YBR274W	35	26	26	35
YBR275C	42	35	35	42
YBR276C	107	111	111	107
YBR277C	14	7	7	14
YBR278W	34	19	19	34
YBR279W	78	76	76	78
YBR280C	70	49	49	70
YBR281C	48	58	58	48
YBR282W	33	29	29	33
YBR283C	329	311	311	329
YBR284W	18	15	15	18
YBR285W	12	10	10	12
YBR286W	1187	1226	1226	1187
YBR287W	249	291	291	249
YBR288C	33	33	33	33
YBR289W	60	61	61	60
YBR290W	89	99	99	89
YBR291C	23	27	27	23
YBR292C	2	1	1	2
YBR293W	30	32	32	30
YBR294W	25	41	41	25
YBR295W	58	70	70	58
YBR296C	230	191	191	230
YBR296C-A	1	0	0	1
YBR297W	61	61	61	61
YBR298C	114	122	122	114
YBR298C-A	0	0	0	0
YBR299W	2	2	2	2
YBR300C	0	0	0	0
YBR301W	1	0	0	1
YBR302C	5	2	2	5
YCL076W	0	0	0	0
YCL075W	0	0	0	0
YCL074W	0	0	0	0
YCL073C	0	0	0	0
YCL069W	0	0	0	0
YCL068C	0	0	0	0
YCL067C	0	0	0	0
YCL066W	0	0	0	0
YCL065W	0	0	0	0
YCL064C	362	387	387	362
YCL063W	30	42	42	30
YCL061C	23	34	34	23
YCL059C	98	104	104	98
YCL058C	11	12	12	11
YCL058W-A	10	11	11	10
YCL057C-A	118	140	140	118
YCL057W	202	167	167	202
YCL056C	15	17	17	15
YCL055W	33	20	20	33
YCL054W	50	48	48	50
YCL052C	91	90	90	91
YCL051W	109	144	144	109
YCL050C	240	233	233	240
YCL049C	85	96	96	85
YCL048W-A	1	1	1	1
YCL048W	1	4	4	1
YCL047C	18	15	15	18
YCL045C	202	201	201	202
YCL046W	15	17	17	15
YCL044C	50	46	46	50
YCL043C	1270	1249	1249	1270
YCL041C	55	63	63	55
YCL042W	212	240	240	212
YCL040W	3305	3371	3371	3305
YCL039W	104	127	127	104
YCL038C	61	65	65	61
YCL037C	5	4	4	5
YCL036W	12	6	6	12
YCL035C	130	130	130	130
YCL034W	181	202	202	181
YCL033C	95	89	89	95
YCL032W	76	72	72	76
YCL031C	73	50	50	73
YCL030C	823	819	819	823
YCL029C	39	41	41	39
YCL028W	172	185	185	172
YCL027W	9	7	7	9
YCL026C-B	15	21	21	15
YCL026C-A	4	4	4	4
