Geneid;ERR458493;ERR458494;;;;
YBR176W;13;17;;;;
YBR177C;119;115;;;;
YBR178W;6;9;;;;
YBR179C;40;35;;;;
YBR180W;1;1;;;;
YBR181C;357;379;;;;
YBR181C;41;52;;;;
YBR182C;6;5;;;;
YBR182C-A;0;0;;;;
YBR183W;41;41;;;;
YBR184W;1;1;;;;
YBR185C;35;24;;;;
YBR186W;4;4;;;;
YBR186W;1;0;;;;
YBR187W;160;146;;;;
YBR188C;25;19;;;;
YBR189W;68;67;;;;
YBR189W;1320;1382;;;;
YBR190W;124;112;;;;
YBR191W;154;131;;;;
YBR191W;1278;1310;;;;
YBR191W-A;47;29;;;;
YBR192W;25;24;;;;
YBR193C;40;42;;;;
YBR194W;8;5;;;;
YBR195C;22;21;;;;
YBR196C;2601;2439;;;;
YBR196C-A;0;1;;;;
YBR196C-B;4;2;;;;
YBR197C;34;38;;;;
YBR198C;139;139;;;;
YBR199W;221;245;;;;
YBR200W;44;51;;;;
YBR200W-A;2;0;;;;
YBR201W;31;30;;;;
YBR201C-A;10;13;;;;
YBR202W;90;67;;;;
YBR203W;73;50;;;;
YBR204C;37;52;;;;
YBR205W;139;127;;;;
YBR206W;56;56;;;;
YBR207W;103;95;;;;
YBR208C;94;100;;;;
YBR209W;0;3;;;;
tC(GCA)B;0;0;;;;
tE(UUC)B;0;0;;;;
YBR210W;15;20;;;;
YBR211C;31;43;;;;
YBR212W;202;207;;;;
YBR213W;10;13;;;;
YBR214W;327;329;;;;
YBR215W;0;0;;;;
YBR215W;29;26;;;;
YBR216C;29;31;;;;
YBR217W;13;8;;;;
YBR218C;496;519;;;;
YBR219C;0;0;;;;
YBR220C;81;74;;;;
YBR219C;36;30;;;;
YBR221C;378;398;;;;
YBR221W-A;1;2;;;;
YBR222C;198;210;;;;
YBR223C;40;36;;;;
YBR223W-A;16;6;;;;
YBR224W;5;5;;;;
YBR225W;37;34;;;;
YBR226C;2;5;;;;
YBR227C;50;40;;;;
YBR228W;27;21;;;;
YBR229C;88;79;;;;
YBR230C;126;133;;;;
YBR230C;10;18;;;;
YBR230W-A;35;39;;;;
LSR1;12;5;;;;
YBR231C;37;55;;;;
YBR232C;9;10;;;;
YBR233W;33;28;;;;
YBR233W-A;9;12;;;;
YBR234C;216;237;;;;
YBR235W;71;81;;;;
YBR236C;61;52;;;;
YBR237W;33;44;;;;
YBR238C;35;33;;;;
YBR239C;31;24;;;;
YBR240C;7;10;;;;
YBR241C;69;83;;;;
YBR242W;34;31;;;;
YBR243C;62;64;;;;
YBR244W;39;42;;;;
YBR245C;85;74;;;;
YBR246W;77;68;;;;
YBR247C;18;26;;;;
YBR248C;194;181;;;;
YBR249C;495;470;;;;
YBR250W;1;1;;;;
YBR251W;45;30;;;;
YBR252W;64;71;;;;
YBR253W;42;25;;;;
YBR254C;27;21;;;;
YBR255W;55;54;;;;
YBR255C-A;15;16;;;;
YBR255C-A;4;7;;;;
YBR256C;155;115;;;;
YBR257W;17;12;;;;
YBR258C;15;8;;;;
YBR259W;23;10;;;;
YBR260C;38;37;;;;
YBR261C;123;108;;;;
YBR262C;46;37;;;;
YBR263W;275;329;;;;
YBR264C;49;57;;;;
YBR265W;107;124;;;;
YBR267W;22;22;;;;
YBR266C;5;5;;;;
YBR268W;71;80;;;;
YBR269C;52;49;;;;
YBR270C;25;22;;;;
YBR271W;19;12;;;;
YBR272C;24;29;;;;
YBR273C;88;88;;;;
YBR274W;26;35;;;;
YBR275C;35;42;;;;
YBR276C;111;107;;;;
YBR277C;7;14;;;;
YBR278W;19;34;;;;
YBR279W;76;78;;;;
YBR280C;49;70;;;;
YBR281C;58;48;;;;
YBR282W;29;33;;;;
YBR283C;311;329;;;;
YBR284W;15;18;;;;
YBR285W;10;12;;;;
YBR286W;1226;1187;;;;
YBR287W;291;249;;;;
YBR288C;33;33;;;;
YBR289W;61;60;;;;
YBR290W;99;89;;;;
YBR291C;27;23;;;;
YBR292C;1;2;;;;
YBR293W;32;30;;;;
YBR294W;41;25;;;;
YBR295W;70;58;;;;
YBR296C;191;230;;;;
YBR296C-A;0;1;;;;
YBR297W;61;61;;;;
YBR298C;122;114;;;;
YBR298C-A;0;0;;;;
YBR299W;2;2;;;;
YBR300C;0;0;;;;
YBR301W;0;1;;;;
YBR302C;2;5;;;;
YCL076W;0;0;;;;
YCL075W;0;0;;;;
YCL074W;0;0;;;;
YCL073C;0;0;;;;
YCL069W;0;0;;;;
YCL068C;0;0;;;;
YCL067C;0;0;;;;
YCL066W;0;0;;;;
YCL065W;0;0;;;;
YCL064C;387;362;;;;
YCL063W;42;30;;;;
YCL061C;34;23;;;;
YCL059C;104;98;;;;
YCL058C;12;11;;;;
